rank,company,headquarters,state,subtype,industries
307,Government Employee's Insurance Company,"Chevy Chase, Maryland",Maryland,company,Insurance
308,Royal Caribbean Cruises,"Miami, Florida",Florida,company,Travel & Leisure
309,Builders FirstSource,"Dallas, Texas",Texas,company,"Engineering, Manufacturing"
310,Eaton,"Cleveland, Ohio",Ohio,company,"Engineering, Manufacturing"
311,CACI International,"Arlington, Virginia",Virginia,company,Aerospace & Defense
312,Baxter International,"Deerfield, Illinois",Illinois,company,Drugs & Biotechnology
313,ZF Group,"Northville, Michigan",Michigan,company,Automotive (Automotive and Suppliers)
314,Paychex,"Rochester, New York",New York,company,Business Services & Supplies
315,State of Michigan,"Lansing, Michigan",Michigan,company,Government Services
316,ConocoPhillips,"Houston, Texas",Texas,company,"Construction, Oil & Gas Operations, Mining and Chemicals"
317,Epic,"Verona, Wisconsin",Wisconsin,company,"IT, Internet, Software & Services"
318,State of Minnesota,"Saint Paul, Minnesota",Minnesota,company,Government Services
319,FedEx,"Memphis, Tennessee",Tennessee,company,Transportation and Logistics
320,Aerojet Rocketdyne,"Rancho Cordova, California",California,company,Aerospace & Defense
321,Phillips 66,"Wilmington, Delaware",Delaware,company,"Construction, Oil & Gas Operations, Mining and Chemicals"
322,Novartis,"East Hanover, New Jersey",New Jersey,company,Drugs & Biotechnology
323,Marsh & McLennan,"New York, New York",New York,company,Professional Services
324,Amazon.com,"Seattle, Washington",Washington,company,Retail and Wholesale
325,Lionbridge Technologies,"Waltham, Massachusetts",Massachusetts,company,Business Services & Supplies
326,Cognizant,"Teaneck, New Jersey",New Jersey,company,"IT, Internet, Software & Services"
327,Leidos,"Reston, Virginia",Virginia,company,"IT, Internet, Software & Services"
328,Teledyne Technologies,"Thousand Oaks, California",California,company,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
329,East Penn Manufacturing,"Lyon Station, Pennsylvania",Pennsylvania,company,Automotive (Automotive and Suppliers)
330,Ace Hardware,"Oak Brook, Illinois",Illinois,company,Retail and Wholesale
331,Suddenlink,"St. Louis, Missouri",Missouri,company,"Telecommunications Services, Cable Supplier"
332,Continental,"Fort Mill, South Carolina",South Carolina,company,Automotive (Automotive and Suppliers)
333,PricewaterhouseCoopers,"New York, New York",New York,company,Professional Services
334,Merck,"Kenilworth, New Jersey",New Jersey,company,Drugs & Biotechnology
335,Nationwide Mutual Insurance,"Columbus, Ohio",Ohio,company,Insurance
336,Samsung Electronics,"Ridgefield Park, New Jersey",New Jersey,company,"Semiconductors, Electronics, Electrical Engineering, Technology Hardware & Equipment"
337,State of Utah,"Salt Lake City, Utah",Utah,company,Government Services
338,FIS,"Jacksonville, Florida",Florida,company,Banking and Financial Services
339,Bristol-Myers Squibb,"New York, New York",New York,company,Drugs & Biotechnology
340,Big Y World Class Market,"Springfield, Massachusetts",Massachusetts,company,Retail and Wholesale
