"year","list","position","rank","name","last_name","net_worth.millions","age","source","industry","gender","squareImage","url.bio.forbes","url.image"
2016,"India 50",79,79,"Leena Tewari","Tewari",1630,60,"pharmaceuticals","Healthcare","F","//specials-images.forbesimg.com/imageserve/5a7f334a4bbe6f2652f52f6e/416x416.jpg?background=000000&cropX1=76&cropX2=300&cropY1=2&cropY2=226","http://www.forbes.com/profile/leena-tewari","http://i.forbesimg.com/media/lists/people/leena-tewari_200x200.jpg"
2016,"India 50",80,80,"Nandan Nilekani","Nilekani",1620,63,"software services","Technology","M","//specials-images.forbesimg.com/imageserve/5a7f3c7c4bbe6f2652f52fab/416x416.jpg?background=000000&cropX1=741&cropX2=3175&cropY1=16&cropY2=2451","http://www.forbes.com/profile/nandan-nilekani","http://i.forbesimg.com/media/lists/people/nandan-nilekani_200x200.jpg"
2016,"India 50",81,81,"Senapathy Gopalakrishnan","Gopalakrishnan",1610,63,"software services","Technology","M","http://specials-images.forbesimg.com/imageserve/57d890984bbe6f6781c4f0e2/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=187&cropY2=931","http://www.forbes.com/profile/senapathy-gopalakrishnan","http://i.forbesimg.com/media/lists/people/senapathy-gopalakrishnan_200x200.jpg"
2016,"India 50",82,82,"Satish Mehta","Mehta",1600,67,"pharmaceuticals","Healthcare","M","http://specials-images.forbesimg.com/imageserve/57dc49a531358e16c589a744/416x416.jpg?background=000000&cropX1=209&cropX2=694&cropY1=118&cropY2=603","http://www.forbes.com/profile/satish-mehta","http://i.forbesimg.com/media/lists/people/satish-mehta_200x200.jpg"
2016,"India 50",83,83,"Ravi Jaipuria","Jaipuria",1570,63,"soft drinks","Food and Beverage","M","//specials-images.forbesimg.com/imageserve/59cc173531358e542c02fc2c/416x416.jpg?background=000000&cropX1=10&cropX2=1632&cropY1=10&cropY2=1633","http://www.forbes.com/profile/ravi-jaipuria","http://i.forbesimg.com/media/lists/people/ravi-jaipuria_200x200.jpg"
2016,"India 50",84,84,"Radhe Shyam Agarwal","Agarwal",1560,73,"consumer goods","Fashion & Retail","M","//specials-images.forbesimg.com/imageserve/0e96c29819c584840c6320805c622547/416x416.jpg?background=000000&cropX1=5&cropX2=744&cropY1=15&cropY2=755","http://www.forbes.com/profile/radhe-shyam-agarwal","http://i.forbesimg.com/media/lists/people/radhe-shyam-agarwal_200x200.jpg"
2016,"India 50",85,84,"Radhe Shyam Goenka","Goenka",1560,72,"consumer goods","Fashion & Retail","M","//specials-images.forbesimg.com/imageserve/98ff8ca7e8482f8118eec56850275103/416x416.jpg?background=000000&cropX1=50&cropX2=691&cropY1=108&cropY2=749","http://www.forbes.com/profile/radhe-shyam-goenka","http://i.forbesimg.com/media/lists/people/radhe-shyam-goenka_200x200.jpg"
2016,"India 50",86,86,"Sameer Gehlaut","Gehlaut",1550,44,"finance","Finance and Investments","M","//specials-images.forbesimg.com/imageserve/58fe039131358e58f07ab1d7/416x416.jpg?background=000000&cropX1=89&cropX2=979&cropY1=123&cropY2=1012","http://www.forbes.com/profile/sameer-gehlaut","http://i.forbesimg.com/media/lists/people/sameer-gehlaut_200x200.jpg"
2016,"India 50",87,87,"Devendra Jain","Jain",1540,89,"chemicals","Manufacturing","M","//specials-images.forbesimg.com/imageserve/bf1741ac1959019444c9f5a8a89a413d/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=55&cropY2=799","http://www.forbes.com/profile/devendra-jain","http://i.forbesimg.com/media/lists/people/devendra-jain_200x200.jpg"
2016,"India 50",88,88,"Jai Hari & Yadu Hari Dalmia","Dalmia",1500,NA,"cement","Manufacturing","M","//specials-images.forbesimg.com/imageserve/59cc130131358e542c02fbb3/416x416.jpg?background=000000&cropX1=23&cropX2=3648&cropY1=821&cropY2=4448","http://www.forbes.com/profile/jai-hari-yadu-hari-dalmia","http://i.forbesimg.com/media/lists/people/jai-hari-yadu-hari-dalmia_200x200.jpg"
